Time | Topic | Speaker/ Moderator | Panelists
8.30-9.00 | Registration & Breakfast |  | 
9.00-9.10 | Welcome address & introduction | Dr Amitava Pahari | 
9.10-9.40 (25+5) | Post Infectious Diseases Spectrum | Dr Jaydeep Choudhury | 
9.40-10.10 (25+5) | Fever Beyond Infections: Clues To Rheumatologic Etiologies | Dr Priyankar Pal | 
10.10-10.40 (25+5) | Triggered: The Post-Infectious Landscape Of Pediatric Neurology | Dr Arijit Chattopadhyay | 
10.40-11.10 (25+5) | Beyond Infections: Fallacies Of Mind-Body Dichotomy -Why Pediatricians Need To Reimagine Psychiatry | Dr J R Ram | 
11.10-11.30 | TEA/ COFFEE | TEA/ COFFEE | TEA/ COFFEE
11.30-12.00 (25+5) | Echoes In The Airways: Lasting Respiratory Effects Of Childhood Infections | Dr Pallab Chatterjee | 
12.00-12.30 (25+5) | Post Infectious Disorders In Endocrinology | Dr Subrata Dey  | 
12.30-13.30 | Panel Discussion: Case Based Critical Care Scenario In Children Beyond Infections | Dr Kaustabh Chaudhuri | Dr Avishek Poddar, Dr Agnisekhar Saha, Dr Kaushik Maulik, Dr Aziz Beawarwala
13.30-14.10 | LUNCH | LUNCH | LUNCH
14.10 -15.00 | Panel discussion Post Infectious Autoimmune Conditions In Pediatric Gastroenterolgy & Hepatology: Moderator: Dr Ramesh Srinivasan | Dr Yaja Jebaying Dr Sarthak Chakrabarti,  Dr Bhaswati C Acharyya | 
15.00-15.30 (25+5) | Post Infection Disease Spectrum In Nephrology | Dr Rajiv Sinha | 
15.30-16.00 (25+5) | Post Infectious Hematological Conditions: Spotlight On Auto Immune Manifestations | Dr Rajat Battacharyya | Dr Leslie Lehmann, Dr. Niharendu Ghara
16.00-16.30 (25+5) | EBV Infection Post Stem Cell Transplant & Beyond | Dr Leslie Lehmann | 
16.30-17.00 (25+5) | Infection Associated HLH: Early Recognition And Evolving Strategies | Dr. Amita Mahajan  | Dr Leslie Lehmann, Dr. Niharendu Ghara
17.00-17.30 (25+5) | Post Infectious Diseases And Immune/Inflammatory Dysregulation: Looking Towards The Future.                 -Can AI help Us?                 -Ethical Dilemmas | Dr Chandreyee Bhattacharya | 
17.30 onwards | Closing Remarks & Feedback Session | Closing Remarks & Feedback Session | Closing Remarks & Feedback Session
Time | Topic | Speaker/ Moderator | Chairperson
8.30-9.00 | Registration & welcome address |  | 
9:00-9:25 (20+5mins) | Early Intervention of Neurodevelopmental Disorders | Dr Anjan Bhattacharya | 
9:25-10:15 (50mins) | Panel discussion:  Navigating the Impossible: Difficult Airway Management and Bronchoscopy | Expert: Dr Pallab Chatterjee Panelists: Dr Shampa Mitra Pahari, Dr Kaustabh Chaudhuri Dr Alokananda Das Dutta Dr Amrita Roy | 
10:15-10:45 (15+15mins) | Genomics in NICU – Game changer or Overused tool? Neonatologist’s Perspective:TBA Geneticist’s Perspective:  |    Dr Saswati Mukhopadhyay | 
10:45-10:55 | TEA/ COFFEE | TEA/ COFFEE | TEA/ COFFEE
10:55-11.15 (20mins) | Individualized Nutrition in NICU:  the era of precision feeding | Dr Tamal Laha | 
11.15pm-11.45 (20mins) | Guarding the Neonatal Airways: Strategies for RSV Prevention  | Dr Sudip Sengupta | 
11.45-12:15 (20+5+5mins) | POCUS – Intensivists’ new best friend. | Dr Surabhi Periwal Expert: Dr Bijan Saha, Dr Debadatta Muknopahyay | 
12:15-13:00 (45mins) | Panel discussion Neonatal Cholestasis: beyond biliary atresia  | Moderator: Dr Amrita Roy Panelists: Dr. Yaja Jebaying, Dr Ramesh Srinivasan, Dr Tanusree Kundu Dr Vaishali Ray Srivastava | Dr Biswanath Mukhopadhyay
13:00-13:20 (10 + 10mins)   13:20-13:40 (10 + 10mins) | Debate 1:  Feeds, only enteral from birth to give or not to give?  Debate 2:  Intact Cord Resuscitation are we there yet? | PRO – Dr Omprakash Jamadar CON – Dr Alokananda Das Dutta   PRO – Dr Amrita Roy CON – Dr Shilpita Barua | 
13:40-14:20 (40mins)  | LUNCH | LUNCH | LUNCH
14:20-15:05 (30 mins +15 mins) | Artificial Intelligence in Neonatology Indian perspective:  Global perspective: What’s new |  Dr Avneet Kaur   Dr Philip Levy | 
15:05-15:35 (25+5mins) | Early Detection of Critical Congenital Heart Disease | Dr Philip Levy | 
15:35-16:05 (30mins) | Panel Discussion Ethics & Dilemma in Neonatal Practice & Research | Moderator: Dr Brajagopal Ray  Panelists: Dr Omprakash Jamadar Dr Bijan Saha Dr Shampa Mitra Dr Amrita Roy | 
16:05-16:45 (30+10) | Advances in Neonatal Sepsis | Dr Philip Levy | Dr Meena Thiagarajan
16:45-17:15 (30mins) | Neonatology QUIZ & Prizes: Mentimeter monitored | Quiz Masters: Dr Amrita Roy Dr Alokananda Das Dutta Dr Surabhi Periwal | 
